transaction_row_id,order_id,order_id,data_key,salesman_id,customer_id,product_id,license,quantity
1,EMEA-2022-152156,11/9/2022,20221109,3001,1017,2001,16GRM07R1K,2
2,EMEA-2022-152156,11/9/2022,20221109,3001,1017,2002,QLIW57KZUV,3
3,AMER-2022-138688,6/13/2022,20220613,3002,1056,2002,JI6BVL70HQ,2
4,EMEA-2021-108966,10/11/2021,20211011,3003,1031,2003,DE9GJKGD44,5
5,EMEA-2021-108966,10/11/2021,20211011,3003,1031,2004,OIF7NY23WD,2
6,AMER-2020-115812,6/9/2020,20200609,3004,1065,2005,8RM88WFOAE,7
7,AMER-2020-115812,6/9/2020,20200609,3004,1065,2006,4SYTVM0746,4
8,AMER-2020-115812,6/9/2020,20200609,3004,1065,2007,07842ES7DY,6
9,AMER-2020-115812,6/9/2020,20200609,3004,1065,2003,XPBOBXWXA3,3
10,AMER-2020-115812,6/9/2020,20200609,3004,1065,2008,71J8P9Z1P0,5
11,AMER-2020-115812,6/9/2020,20200609,3004,1065,2003,43NZ37VE2D,9
12,AMER-2020-115812,6/9/2020,20200609,3004,1065,2007,JG14MOU94R,4
13,EMEA-2023-114412,4/16/2023,20230416,3005,1062,2009,FE5QJBIUN1,3
14,AMER-2022-161389,12/6/2022,20221206,3006,1066,2003,COK66F8IC1,3
15,APJ-2021-118983,11/22/2021,20211122,3007,1074,2008,D8FGC56NNX,5
16,APJ-2021-118983,11/22/2021,20211122,3007,1074,2003,NRKT5R1A1G,3
17,EMEA-2020-105893,11/11/2020,20201111,3008,1087,2004,K5XHYWZ1OV,6
18,EMEA-2020-167164,5/13/2020,20200513,3009,1047,2004,LWWKLPY4AU,2
19,AMER-2020-143336,8/27/2020,20200827,3010,1099,2006,ZYL9KDTY68,2
20,AMER-2020-143336,8/27/2020,20200827,3010,1099,2007,I54O29EW1T,3
21,AMER-2020-143336,8/27/2020,20200827,3010,1099,2003,E3TF1V9DE8,4
22,AMER-2022-137330,12/10/2022,20221210,3011,1048,2006,B83G92QX65,7
23,AMER-2022-137330,12/10/2022,20221210,3011,1048,2008,VWDIYAB44Z,7
24,EMEA-2023-156909,7/17/2023,20230717,3012,1025,2002,AJOASBK55N,2
25,EMEA-2021-106320,9/25/2021,20210925,3013,1063,2003,P1I8X35CUZ,3
26,AMER-2022-121755,1/16/2022,20220116,3014,1043,2003,NRCR8EBL62,2
27,AMER-2022-121755,1/16/2022,20220116,3014,1043,2010,PV9U9D3A6O,3
28,EMEA-2021-150630,9/17/2021,20210917,3015,1051,2001,F8G07TWQ17,7
29,EMEA-2021-150630,9/17/2021,20210917,3015,1051,2003,BGL4P1U2CZ,2
30,EMEA-2021-150630,9/17/2021,20210917,3015,1051,2005,B5H6S070N8,3
31,EMEA-2021-150630,9/17/2021,20210917,3015,1051,2011,D9635UBJOG,2
32,EMEA-2021-150630,9/17/2021,20210917,3015,1051,2006,6SQI2HAZ4C,6
33,EMEA-2021-150630,9/17/2021,20210917,3015,1051,2003,GPQ0TDTGIM,6
34,EMEA-2021-150630,9/17/2021,20210917,3015,1051,2006,4YZZHFC212,2
35,APJ-2023-107727,10/20/2023,20231020,3016,1083,2009,77YXBOVGDH,3
36,APJ-2022-117590,12/9/2022,20221209,3017,1077,2007,GCT4GPUBVT,7
37,APJ-2022-117590,12/9/2022,20221209,3017,1077,2005,TKN9K1JO1D,5
38,APJ-2021-117415,12/27/2021,20211227,3018,1101,2011,2F0NIUM5X9,9
39,APJ-2021-117415,12/27/2021,20211227,3018,1101,2001,FBXEM82WEZ,3
40,APJ-2021-117415,12/27/2021,20211227,3018,1101,2002,TS9MS0FQVU,3
41,APJ-2021-117415,12/27/2021,20211227,3018,1101,2007,HDJMRDRWK6,4
